codice,geo,tp_code,tp_nome,ts_code,ts_nome,att_code,descrizione,foto_riferimento_rilevante
S101000,S,1,Vegetazione,01,PRATO,000,prato generico,no
S101016,S,1,Vegetazione,01,PRATO,016,prato in erba,si
S101017,S,1,Vegetazione,01,PRATO,017,sterrato,si
S101050,S,1,Vegetazione,01,PRATO,050,prato in carreggiabile erbosa/green paving,si
S101051,S,1,Vegetazione,01,PRATO,051,prato in scarpata/fossetti,si
S101052,S,1,Vegetazione,01,PRATO,052,prato in linea tramviaria,si
S101053,S,1,Vegetazione,01,PRATO,053,prato su campi cimiteriali,si
S101115,S,1,Vegetazione,01,PRATO,115,prato incolto,si
S101117,S,1,Vegetazione,01,PRATO,117,prato marginale,si
S101118,S,1,Vegetazione,01,PRATO,118,prato/campo agricolo,si
S101119,S,1,Vegetazione,01,PRATO,119,prato fiorito,si
S101120,S,1,Vegetazione,01,PRATO,120,prato fiorito spontaneo,si
S101124,S,1,Vegetazione,01,PRATO,124,prato in fosso di confine,si
S101126,S,1,Vegetazione,01,PRATO,126,area sotto siepe,no
S101816,S,1,Vegetazione,01,PRATO,816,prato in banchina,si
S101851,S,1,Vegetazione,01,PRATO,851,prato in banchina scarpata,si
S102000,S,1,Vegetazione,02,AIUOLA,000,aiuola generica,no
S102101,S,1,Vegetazione,02,AIUOLA,101,aiuola cespuglio macchia,si
S102102,S,1,Vegetazione,02,AIUOLA,102,aiuola erbacee perenni,si
S102103,S,1,Vegetazione,02,AIUOLA,103,aiuola erbacee annuali,si
S102111,S,1,Vegetazione,02,AIUOLA,111,aiuola pensile intensivo,si
S102112,S,1,Vegetazione,02,AIUOLA,112,aiuola pensile estensivo,si
S102113,S,1,Vegetazione,02,AIUOLA,113,aiuola verde verticale,si
S102121,S,1,Vegetazione,02,AIUOLA,121,aiuola fiorita di pregio,si
S102122,S,1,Vegetazione,02,AIUOLA,122,aiuola fiorita perenne,si
S102455,S,1,Vegetazione,02,AIUOLA,455,aiuola con griglia,si
S103100,S,1,Vegetazione,03,PIANTA,100,bosco,si
S103101,S,1,Vegetazione,03,PIANTA,101,cespuglio macchia/tappezzante,si
S103114,S,1,Vegetazione,03,PIANTA,114,vegetazione acquatica,si
S103115,S,1,Vegetazione,03,PIANTA,115,rovo/sterpaglia,si
S103123,S,1,Vegetazione,03,PIANTA,123,gruppo di alberi,si
S103160,S,1,Vegetazione,03,PIANTA,160,forestazione urbana,si
S103259,S,1,Vegetazione,03,PIANTA,259,cespuglio macchia in vaso/fioriera,si
S103292,S,1,Vegetazione,03,PIANTA,292,cespuglio macchia in fioriera sospesa,si
L103104,L,1,Vegetazione,03,PIANTA,104,filare stradale,si
L103105,L,1,Vegetazione,03,PIANTA,105,filare - in area a verde o pedonale,si
L103106,L,1,Vegetazione,03,PIANTA,106,filare - in area a verde o pedonale con proiezione su strada,si
L103107,L,1,Vegetazione,03,PIANTA,107,siepe,si
L103116,L,1,Vegetazione,03,PIANTA,116,ciglio stradale,si
L103125,L,1,Vegetazione,03,PIANTA,125,rampicante,si
P103108,P,1,Vegetazione,03,PIANTA,108,albero,si
P103109,P,1,Vegetazione,03,PIANTA,109,cespuglio singolo/arbusto,si
P103259,P,1,Vegetazione,03,PIANTA,259,pianta in vaso/fioriera,si
S204000,S,2,Arredo urbano,04,ACQUA,000,specchio d'acqua generico,no
S204150,S,2,Arredo urbano,04,ACQUA,150,stagno,si
S204151,S,2,Arredo urbano,04,ACQUA,151,corso d'acqua,si
S204152,S,2,Arredo urbano,04,ACQUA,152,specchio d'acqua di una fontana,si
S204153,S,2,Arredo urbano,04,ACQUA,153,lago artificiale,si
S204154,S,2,Arredo urbano,04,ACQUA,154,cava,si
S204155,S,2,Arredo urbano,04,ACQUA,155,fossato con acqua,si
S204156,S,2,Arredo urbano,04,ACQUA,156,fontanile,si
S205000,S,2,Arredo urbano,05,PAVIMENTAZIONE,000,pavimentazione generica,no
S205001,S,2,Arredo urbano,05,PAVIMENTAZIONE,001,pavimentazione in sabbia,si
S205002,S,2,Arredo urbano,05,PAVIMENTAZIONE,002,pavimentazione in ghiaia,si
S205003,S,2,Arredo urbano,05,PAVIMENTAZIONE,003,pavimentazione in calcestre,si
S205004,S,2,Arredo urbano,05,PAVIMENTAZIONE,004,pavimentazione in pietra,si
S205005,S,2,Arredo urbano,05,PAVIMENTAZIONE,005,pavimentazione in asfalto,si
S205006,S,2,Arredo urbano,05,PAVIMENTAZIONE,006,pavimentazione in autobloccanti,si
S205007,S,2,Arredo urbano,05,PAVIMENTAZIONE,007,pavimentazione in lastre calcestruzzo,si
S205008,S,2,Arredo urbano,05,PAVIMENTAZIONE,008,pavimentazione in ciotoli,si
S205009,S,2,Arredo urbano,05,PAVIMENTAZIONE,009,pavimentazione in granulato sferoidale di quarzo,si
S205010,S,2,Arredo urbano,05,PAVIMENTAZIONE,010,pavimentazione in cemento,si
S205011,S,2,Arredo urbano,05,PAVIMENTAZIONE,011,pavimentazione in mattoni,si
S205012,S,2,Arredo urbano,05,PAVIMENTAZIONE,012,pavimentazione in legno,si
S205013,S,2,Arredo urbano,05,PAVIMENTAZIONE,013,pavimentazione in gomma,si
S205015,S,2,Arredo urbano,05,PAVIMENTAZIONE,015,pavimentazione in erba sintetica,si
S205018,S,2,Arredo urbano,05,PAVIMENTAZIONE,018,Roccia,si
S205019,S,2,Arredo urbano,05,PAVIMENTAZIONE,019,pavimentazione in plastica,si
S205020,S,2,Arredo urbano,05,PAVIMENTAZIONE,020,pavimentazione in resina,si
S205021,S,2,Arredo urbano,05,PAVIMENTAZIONE,021,pavimentazione in piastrelle,si
S205022,S,2,Arredo urbano,05,PAVIMENTAZIONE,022,pavimentazione in vetro cemento,si
S205023,S,2,Arredo urbano,05,PAVIMENTAZIONE,023,pavimentazione in lamiera,si
S205024,S,2,Arredo urbano,05,PAVIMENTAZIONE,024,pavimentazione in ferro,si
S205025,S,2,Arredo urbano,05,PAVIMENTAZIONE,025,pavimentazione in terra rossa,si
S205026,S,2,Arredo urbano,05,PAVIMENTAZIONE,026,pavimentazione in metallo (Corten),si
S205027,S,2,Arredo urbano,05,PAVIMENTAZIONE,027,pavimentazione in legno composito,si
S205054,S,2,Arredo urbano,05,PAVIMENTAZIONE,054,pavimentazione in corteccia,si
S205057,S,2,Arredo urbano,05,PAVIMENTAZIONE,057,pavimentazione in porfido,si
L205000,L,2,Arredo urbano,05,PAVIMENTAZIONE,000,percorso/sentiero pavimentato,no
S242000,S,2,Arredo urbano,42,PAVIMENTAZIONE ANTITRAUMA,000,pavimentazione antitrauma generica,no
S242001,S,2,Arredo urbano,42,PAVIMENTAZIONE ANTITRAUMA,001,pavimentazione antitrauma in sabbia,si
S242002,S,2,Arredo urbano,42,PAVIMENTAZIONE ANTITRAUMA,002,pavimentazione antitrauma in ghiaia,si
S242013,S,2,Arredo urbano,42,PAVIMENTAZIONE ANTITRAUMA,013,pavimentazione antitrauma in gomma,si
S242015,S,2,Arredo urbano,42,PAVIMENTAZIONE ANTITRAUMA,015,pavimentazione antitrauma in erba sintetica,si
S242054,S,2,Arredo urbano,42,PAVIMENTAZIONE ANTITRAUMA,054,pavimentazione antitrauma in corteccia,si
S206000,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,000,campo pallavolo-basket generico,no
S206001,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,001,campo pallavolo-basket in sabbia,si
S206005,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,005,campo pallavolo-basket in asfalto,si
S206009,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,009,campo pallavolo-basket in granulato sferoidale di quarzo,si
S206010,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,010,campo pallavolo-basket in cemento,si
S206013,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,013,campo pallavolo-basket in gomma,si
S206015,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,015,campo pallavolo-basket in erba sintetica,si
S206020,S,2,Arredo urbano,06,IMPIANTO SPORT PALLAVOLO-BASKET,020,campo pallavolo-basket in resina,si
S207000,S,2,Arredo urbano,07,IMPIANTO SPORT CAMPO BOCCE,000,campo bocce generico,no
S207001,S,2,Arredo urbano,07,IMPIANTO SPORT CAMPO BOCCE,001,campo bocce in sabbia,si
S207003,S,2,Arredo urbano,07,IMPIANTO SPORT CAMPO BOCCE,003,campo bocce in calcestre,si
S207005,S,2,Arredo urbano,07,IMPIANTO SPORT CAMPO BOCCE,005,campo bocce in asfalto,si
S207009,S,2,Arredo urbano,07,IMPIANTO SPORT CAMPO BOCCE,009,campo bocce in granulato sferoidale di quarzo,si
